YEAR,ORG_CODE,SHMI
2015,RQQ,1.0753
2015,RQW,1.003
2015,RQX,0.9297
2015,RR1,0.9686
2015,RR7,0.9745
2015,RR8,1.0171
2015,RRF,1.0942
2015,RRK,1.0298
2015,RRV,0.7312
2015,RTD,0.9758
2015,RTE,1.132
2015,RTF,1.0362
2015,RTG,1.0109
2015,RTH,0.9917
2015,RTK,0.9383
2015,RTP,0.9587
2015,RTR,1.0808
2015,RTX,0.9821
2015,RVJ,0.9047
2015,RVR,0.9632
2015,RVV,0.9844
2015,RVW,1.1319
2015,RVY,1.0579
2015,RW3,1.0375
2015,RW6,1.1154
2015,RWA,1.1218
2015,RWD,1.1137
2015,RWE,0.9908
2015,RWF,1.0897
2015,RWG,0.9089
2015,RWH,1.0621
2015,RWJ,0.9441
2015,RWP,1.1001
2015,RWW,1.1238
2015,RWY,1.1315
2015,RX1,1.0444
2015,RXC,1.107
2015,RXF,0.977
2015,RXH,0.9615
2015,RXK,1.0313
2015,RXL,1.1594
2015,RXN,0.9945
2015,RXP,1.0323
2015,RXQ,0.9375
2015,RXR,1.0568
2015,RXW,1.011
2015,RYJ,0.7785
2015,RYR,0.9995
2016,REM,1.0579
2016,RCF,0.9594
2016,RTK,0.9885
2016,RF4,1.046
2016,RFF,1.0147
2016,R1H,0.8796
2016,RDD,1.0593
2016,RC1,1.0609
2016,RXL,1.1539
2016,RMC,1.0808
2016,RAE,0.9577
2016,RXH,0.9884
2016,RXQ,0.9316
2016,RJF,0.9901
2016,RWY,1.0547
2016,RGT,0.8588
2016,RW3,1.1152
2016,RQM,0.8357
2016,RFS,1.0124
2016,RLN,1.0126
2016,RDE,1.0876
2016,RJR,1.0992
2016,RXP,1.0522
2016,RJ6,0.8855
2016,RN7,1.0792
2016,RTG,1.0181
2016,RP5,1.0361
2016,RBD,1.1161
2016,RWH,1.0269
2016,RJN,1.0563
2016,RVV,1.0087
2016,RXR,1.0474
2016,RXC,1.111
2016,RVR,0.9656
2016,RDU,0.8935
2016,RR7,1.0021
2016,RLT,1.0816
2016,RTE,1.1148
2016,RN3,0.9501
2016,RJ1,0.7646
2016,RN5,1.0466
2016,RCD,0.9372
2016,RR1,0.9586
2016,RQX,0.8103
2016,RWA,1.102
2016,RYJ,0.7554
2016,RGQ,0.9918
2016,R1F,1.056
2016,RGP,1.1823
2016,RNQ,1.0459
2016,RJZ,0.9231
2016,RAX,0.842
2016,RXN,1.0344
2016,RR8,0.9673
2016,RJ2,1.0044
2016,R1K,0.8122
2016,RC9,1.0871
2016,RWF,1.0717
2016,RPA,1.0621
2016,RBT,1.0385
2016,RQ8,1.0755
2016,RXF,0.9936
2016,RD8,1.0128
2016,RM1,1.0752
