YEAR,ORG_CODE,SIMPLE_CONSULTANTS_FTE
2010,5D7,3.9
2010,5D8,11.47727
2010,5EF,1.4
2010,5EM,6.75
2010,5ET,0.4
2010,5F1,30.95
2010,5F5,6.342
2010,5F7,4.375
2010,5FE,2
2010,5FL,7.29091
2010,5GC,6.46364
2010,5H1,1
2010,5H8,4.8039
2010,5HG,2.417
2010,5HP,5
2010,5HQ,20.73
2010,5HX,9.2
2010,5J2,7.7
2010,5J5,3.98182
2010,5J6,2.8
2010,5J9,1.79091
2010,5JE,16.31818
2010,5JX,1
2010,5K3,4
2010,5K5,7.8
2010,5K6,5.6
2010,5K7,17.82727
2010,5K8,11.95
2010,5K9,3.7
2010,5KF,5.266
2010,5KL,4
2010,5KM,1
2010,5L1,50.75
2010,5L3,4.1
2010,5LA,2.9
2010,5LC,6.2
2010,5LD,14.4
2010,5LE,7.3
2010,5LF,7
2010,5LG,5.72091
2010,5LH,3.6
2010,5LQ,3.5
2010,5M1,44.75
2010,5M2,1.8
2010,5M3,10.312
2010,5M6,7.2
2010,5M7,3.8
2010,5MD,10.3
2010,5MK,12.75
2010,5MV,26.95455
2010,5MX,14.65
2010,5N1,30.025
2010,5N2,2.725
2010,5N3,13.7
2010,5N4,4.4
2010,5N5,3.3
2010,5N6,4.30455
2010,5N7,8.296
2010,5N8,8.49545
2010,5N9,7.17792
2010,5NA,2.7992
2010,5NC,1
2010,5ND,4
2010,5NE,10.1
2010,5NF,5.6
2010,5NG,10.5461
2010,5NH,7.16234
2010,5NJ,4
2010,5NK,2.39564
2010,5NL,9.78364
2010,5NM,6.75
2010,5NN,3.5
2010,5NP,6.08182
2010,5NR,1.9
2010,5NT,16.213
2010,5NV,49.4367
2010,5NW,2.373
2010,5NX,0.6
2010,5NY,3.04545
2010,5P1,2
2010,5P2,4.4
2010,5P5,25.00273
2010,5P6,10.97782
2010,5P7,1
2010,5P8,2
2010,5P9,9.402
2010,5PA,5
2010,5PC,10.85
2010,5PD,15.86667
2010,5PE,4.2
2010,5PF,6.69091
2010,5PG,6.8
2010,5PH,1
2010,5PJ,13.025
2010,5PK,2.6
2010,5PL,19.78636
2010,5PM,7.87273
2010,5PN,7.35
2010,5PP,7.55
2010,5PQ,12.213
2010,5PR,3
2010,5PT,15.85
2010,5PV,0.9
2010,5PW,4.2
2010,5PX,3.9
2010,5PY,8.5
2010,5QA,6.3829
2010,5QC,17.52922
2010,5QD,3.338
2010,5QE,5.3027
2010,5QF,8.3
2010,5QG,6.2
2010,5QH,3
2010,5QJ,5.63484
2010,5QL,3.4
2010,5QM,13.365
2010,5QN,1.2
2010,5QP,1.8
2010,5QQ,2.71608
2010,5QR,1
2010,5QT,82.58636
2010,5QV,17.27727
2010,AHO,4.9
2010,NNF,6
2010,NNV,2.6
2010,Q31,1
2010,Q32,5.25
2010,Q33,18.77667
2010,Q34,6.88572
2010,Q35,15.92503
2010,Q36,5.9
2010,Q38,5.20637
2010,Q39,2.6
2010,RA2,147.70351
2010,RA3,76.5
2010,RA4,69.425
2010,RA7,300.01145
2010,RA9,156.22
2010,RAE,237.415
2010,RAJ,139.96136
2010,RAL,284.56698
2010,RAN,67.82727
2010,RAP,103.46362
2010,RAS,114.34091
2010,RAT,56.29091
2010,RAX,130.18408
2010,RBA,179.375
2010,RBB,5.6
2010,RBD,103.86299
2010,RBF,35.55409
2010,RBK,98.85
2010,RBL,173.58409
2010,RBN,153.78182
2010,RBQ,55.88182
2010,RBS,146.58018
2010,RBT,96.55454
2010,RBV,85.19091
2010,RBZ,77.6363
2010,RC1,99.84545
2010,RC3,82.31555
2010,RC9,153.00272
2010,RCB,191.95909
2010,RCC,64.45
2010,RCD,92.3
2010,RCF,87.77841
2010,RCU,102.75295
2010,RCX,117.1575
2010,RD1,164.0429
2010,RD3,140.87159
2010,RD7,130.79771
2010,RD8,99.45
2010,RDD,156.84544
2010,RDE,136.72909
2010,RDR,16.6
2010,RDU,147.09998
2010,RDY,38.18091
2010,RDZ,146.39318
2010,RE9,57.55
2010,REF,226.024
2010,REM,189.153
2010,REN,37.9
2010,REP,46.86591
2010,RET,54.15
2010,RF4,248.03361
2010,RFF,89.475
2010,RFR,122.932
2010,RFS,131.512
2010,RFW,94.03408
2010,RGC,133.25453
2010,RGD,53.55
2010,RGM,70.32
2010,RGN,161.32727
2010,RGP,102.12474
2010,RGQ,156.33999
2010,RGR,118.48727
2010,RGT,363.97672
2010,RH5,31.85
2010,RH8,244.38568
2010,RHA,104.03408
2010,RHM,395.05682
2010,RHQ,485.24999
2010,RHU,300.28309
2010,RHW,205.60908
2010,RHX,12.75
2010,RJ1,523.32725
2010,RJ2,106.73637
2010,RJ6,121.50227
2010,RJ7,335.20059
2010,RJ8,28.45
2010,RJC,95.77726
2010,RJD,94.74091
2010,RJE,266.07909
2010,RJF,103.49545
2010,RJL,149.1813
2010,RJN,69.04545
2010,RJR,115.83181
2010,RJX,7.65
2010,RJZ,370.77923
2010,RK5,131.419
2010,RK9,288.88409
2010,RKB,304.39945
2010,RKE,121.11362
2010,RKL,106.48864
2010,RL1,62.4
2010,RL4,198.02273
2010,RLN,222.26818
2010,RLQ,85.375
2010,RLT,57.77273
2010,RLU,47.78
2010,RLY,30.47727
2010,RM1,310.32728
2010,RM2,218.94413
2010,RM3,269.18113
2010,RM4,52.6
2010,RMC,131.79545
2010,RMP,95.625
2010,RMY,64.05
2010,RN1,118.42545
2010,RN3,135.99317
2010,RN5,106.425
2010,RN7,75.22727
2010,RNA,155.725
2010,RNH,83.1
2010,RNJ,334.05906
2010,RNK,20.91082
2010,RNL,147.25
2010,RNN,26.3
2010,RNQ,109.07841
2010,RNS,179.8955
2010,RNU,94.20455
2010,RNZ,142.11363
2010,RP1,41.81818
2010,RP4,224.52271
2010,RP5,190.95
2010,RP6,96.37
2010,RP7,42.28182
2010,RPA,147.96363
2010,RPC,52.1763
2010,RPG,59.8
2010,RPY,109.15909
2010,RQ3,154.667
2010,RQ6,240.31818
2010,RQ8,166.63835
2010,RQM,180.21527
2010,RQQ,63.998
2010,RQW,114.53708
2010,RQX,100.51818
2010,RQY,76.72272
2010,RR1,344.32863
2010,RR7,114.985
2010,RR8,599.69225
2010,RRD,45.56364
2010,RRE,54.80409
2010,RRF,160.15941
2010,RRJ,53.70364
2010,RRK,313.96818
2010,RRP,81.16363
2010,RRV,350.96135
2010,RT1,65.25
2010,RT2,68.43636
2010,RT3,147.15909
2010,RT5,80.01705
2010,RT6,36.45
2010,RTD,524.36
2010,RTE,309.05745
2010,RTF,199.37363
2010,RTG,273.34209
2010,RTH,422.80182
2010,RTK,146.74771
2010,RTP,131.48517
2010,RTQ,43.0375
2010,RTR,349.15932
2010,RTV,45.8
2010,RTX,162.01932
2010,RV3,124.58954
2010,RV5,156.34799
2010,RV8,224.00678
2010,RV9,33.425
