YEAR,ORG_CODE,TOTAL_EPISODES,ADMISSIONS,MALE_ADMISSIONS,FEMALE_ADMISSIONS,0-14,15-29,30-44,45-59,60-74,75-89,90+
2012,RMP,66096,52452,28289,37806,7834,8348,9216,11126,13926,12986,2432
2012,RBV,17394,17146,8449,8945,0,1139,1972,4969,7056,2108,77
2012,REN,4581,4562,2612,1969,0,370,274,1196,2129,565,23
2012,NTPAE,420,339,191,229,0,0,0,42,177,189,0
2012,NTP35,7,7,0,0,0,0,0,0,0,0,0
2012,RET,9870,9350,4489,5381,0,1180,2767,2981,2245,651,21
2012,RM2,109388,90280,49713,59675,11181,12188,15435,19406,25238,21576,3718
2012,RTX,106198,93649,48311,57886,10847,10534,12183,16731,27067,24903,3743
2012,RWW,96836,81558,42726,54110,10361,11552,13197,16017,22254,20201,2991
2012,RBL,127425,102146,56297,71128,10870,14713,16034,21113,29352,29989,4714
2012,8E339,349,343,189,160,0,0,0,79,164,88,0
2012,RRF,99192,86996,43655,55536,6603,11421,12561,17267,26445,21900,2720
2012,5QG,15,15,0,10,0,0,0,0,0,0,0
2012,RWX,3178,2814,1526,1652,126,460,483,404,404,945,320
2012,5QF,37,37,18,19,0,0,0,0,0,7,7
2012,NVC31,1965,1965,851,1114,0,98,309,539,656,352,10
2012,NT433,573,573,246,327,0,30,100,187,186,36,0
2012,NT410,1359,1359,664,662,0,95,241,429,449,142,0
2012,NT415,516,516,271,245,0,46,124,160,147,20,0
2012,NT418,1678,1678,669,1006,0,173,383,481,474,159,8
2012,NT428,517,517,245,272,0,29,133,174,128,50,0
2012,NT434,969,969,364,605,0,90,241,308,271,33,0
2012,NT435,535,535,175,292,0,23,132,170,159,48,0
2012,RXQ,98282,91307,41866,56410,14123,10907,14342,15406,21142,18872,2813
2012,NV323,262,262,137,125,0,30,48,69,80,14,0
2012,RN5-X,106189,85860,46764,59419,14821,10804,13915,14807,22356,23752,4543
2012,5QC,0,0,0,0,0,0,0,0,0,0,0
2012,RD7,88514,76660,40290,48224,13973,9842,13688,13185,16251,17802,3459
2012,NVC25,2135,2135,969,1166,0,117,286,629,760,329,10
2012,5QT,256,210,169,87,8,0,29,37,78,82,7
2012,R1F-X,31497,26899,14226,17271,4095,2941,3153,4127,7102,8017,1989
2012,RD8,70127,60159,31238,38887,11118,8964,10888,11332,14345,11348,1875
2012,5CQ,727,601,344,383,0,204,227,163,71,56,6
2012,RN5T1,13032,12598,6138,6894,300,958,2107,3311,3972,2093,143
2012,NT214,417,417,158,259,0,25,80,108,141,60,0
2012,NT244,278,278,158,120,0,25,29,71,115,19,0
2012,RNU,5373,4237,2371,3001,30,625,742,665,646,1958,707
2012,RTH,197309,183697,91416,105891,23618,22347,29556,34172,46072,35152,5160
2012,RHX,39,22,22,17,0,6,0,6,0,0,0
2012,RHU,159991,131683,71409,88581,18136,19423,19626,24256,34894,35943,7304
2012,RHW,107011,94755,45591,61419,13575,12475,16807,15267,23117,21689,3680
2012,NRF04,0,0,0,0,0,0,0,0,0,0,0
2012,R1C,2410,2269,811,1599,156,658,406,237,261,515,169
2012,NTP11,15829,14911,7234,8589,0,2596,3563,4096,3698,1748,95
2012,RW1,15063,13898,7316,7747,14,1008,1613,2413,3690,5176,1140
2012,NT345,342,342,140,202,0,23,27,99,123,22,0
2012,NT344,715,715,311,404,0,40,166,226,209,72,0
2012,NT305,619,619,295,324,0,20,51,153,254,141,0
2012,NT304,730,730,344,386,0,40,120,219,236,107,0
2012,NT343,220,220,106,114,0,18,54,78,51,8,0
2012,NTPAD,7272,6625,3357,3915,0,638,1231,1993,2108,1251,48
2012,NVC02,2016,2016,871,1145,0,168,387,670,618,168,0
2012,RHM,161442,128684,76273,85169,28154,20035,20741,23197,33244,30056,5212
2012,RTK,81625,73707,34190,47435,8989,9154,12444,11400,16176,19392,3931
2012,NVC01,2515,2515,1134,1381,0,205,477,757,747,320,6
2012,NED30,344,344,145,199,0,20,65,109,101,46,0
2012,NWF01,966,966,0,0,53,20,41,116,354,333,28
2012,NT414,775,775,377,398,0,62,120,217,248,118,6
2012,NT417,2481,2481,1108,1369,0,134,434,652,873,374,8
2012,NT408,1915,1915,808,1106,0,160,325,488,582,340,18
2012,NT413,869,869,400,466,0,36,154,228,279,165,0
2012,NT431,691,691,294,397,0,32,138,195,217,103,0
2012,NT438,940,940,433,507,0,76,194,255,263,137,9
2012,NT455,465,465,201,264,0,35,85,138,123,73,6
2012,RXH,139758,117167,66116,73630,17335,13608,19667,23004,30825,28736,5388
2012,RN7-X,76482,65086,33255,43226,10691,8912,10858,11540,15976,15225,3062
2012,NNE02,0,0,0,0,0,0,0,0,0,0,0
2012,RVV,195314,174743,88545,106766,16514,19719,22812,31411,50497,45933,8064
2012,RXC,116975,100716,51733,65241,11013,9801,11365,17198,29304,31377,6599
2012,NDA25,464,460,161,303,0,0,0,7,67,277,101
2012,RDU,107947,90113,49373,58573,11228,11361,17033,17092,23105,23103,4705
2012,NDA03,165,165,59,106,0,0,0,9,11,78,37
2012,RXY,4192,3062,2257,1935,0,830,1191,1001,696,419,46
2012,RYY,2424,2417,887,1537,0,0,18,69,368,1410,546
2012,RWF,102212,91950,45275,56935,12739,10218,14312,15242,22792,22512,4202
2012,RPA,87720,75115,39239,48481,16263,11296,11955,13408,17595,14610,2419
2012,NDA26,273,271,112,161,0,0,0,0,20,172,70
2012,NVC11,1992,1992,820,1170,0,154,362,579,611,257,15
2012,NT205,30,30,15,15,0,0,0,0,6,0,0
2012,NT212,204,204,92,112,0,21,32,43,75,21,0
2012,NT218,125,125,50,75,0,0,0,39,49,10,0
2012,NT239,21,21,11,10,0,0,0,7,0,0,0
2012,NT241,650,650,272,378,0,17,73,162,193,182,0
2012,RPC,18200,18151,9638,8562,2460,2880,2693,3674,3475,2629,374
2012,RA2,78908,71766,36080,42828,8623,8028,11397,12980,18924,15810,2985
2012,NT312,1006,1006,354,652,0,83,213,326,310,71,0
2012,NT308,813,813,353,460,0,48,110,255,302,92,0
2012,NT364,0,0,0,0,0,0,0,0,0,0,0
2012,NT346,1656,1656,697,959,0,71,246,423,539,359,9
2012,NT309,363,363,136,227,0,9,49,94,145,54,0
2012,NT310,468,468,201,267,0,28,86,134,133,81,0
2012,NQ713,467,467,180,287,0,0,0,12,90,269,71
2012,RXX,3595,2948,1853,1742,136,934,1093,760,377,262,31
2012,RTP,92173,77267,41737,50433,12803,9184,12759,13668,17652,21446,4241
2012,RDR,3335,3317,1083,2252,187,101,103,244,517,1563,615
2012,RX2,5879,4389,3113,2766,10,1242,1646,1495,830,569,80
2012,NXM01,4405,4405,1746,2659,0,104,401,969,1995,908,21
2012,NTYF1,1781,1781,725,1056,23,28,203,285,460,641,118
2012,NN801,1182,1182,430,752,0,81,261,343,352,133,0
2012,NDA07,319,319,86,233,0,0,0,0,24,190,100
2012,RYR-X,148908,120392,67071,81837,14977,11971,15963,21235,36678,39425,8241
2012,NTP16,3695,3133,1695,2000,0,178,466,750,1150,1086,64
2012,NQ719,384,384,214,170,0,0,0,73,159,137,11
2012,NDA18,344,339,135,209,0,0,0,31,66,169,63
2012,RTQ,1672,1374,845,827,0,241,498,413,279,217,22
2012,RVN,3854,2691,2034,1820,0,786,1094,848,567,505,54
2012,NT402,1844,1844,777,1067,0,107,328,513,579,304,13
2012,NT419,1318,1318,636,681,0,35,157,244,404,444,32
2012,NT430,3002,3002,1443,1557,0,226,496,835,848,571,26
2012,NT443,678,678,301,377,0,9,46,113,253,240,12
2012,NLL11,585,565,256,329,0,0,6,10,103,340,99
2012,NVC24,4468,4468,2022,2446,0,377,566,952,1493,1034,35
2012,NLL17,516,512,259,257,0,0,0,24,99,290,86
2012,NV302,3171,3171,1474,1697,0,166,469,828,1021,657,25
2012,NTC04,1841,1841,885,956,0,253,463,545,428,141,11
2012,RJ8,854,630,449,405,0,162,231,217,160,75,6
2012,NTC03,5503,5503,2670,2833,0,589,1059,1390,1529,888,47
2012,RWV,2347,1802,1176,1170,0,462,677,623,366,204,10
2012,RBD,60555,50529,28678,31877,5561,5736,6367,9016,15541,15644,2647
2012,RDY,10206,9386,4630,5576,75,887,1289,1628,2137,3266,911
2012,5QM,268,268,121,147,142,24,42,28,8,0,0
2012,NVC04,4108,4108,1965,2143,0,324,745,1109,1453,462,10
2012,NLL20,181,174,67,114,0,0,8,13,12,96,23
2012,NTC02,9766,9766,4625,5141,0,898,1776,2467,3019,1533,71
2012,NLL16,241,236,105,136,0,0,0,7,35,152,44
2012,NLL14,148,144,68,80,0,0,0,0,9,97,29
2012,RTE,180873,149067,79803,101069,18380,20072,22550,28374,44986,39880,6191
2012,5QH,6660,6343,2165,4495,7,856,462,300,896,3038,1085
2012,RN3,105120,89664,44400,60710,16092,12469,15382,15760,21151,20633,3493
2012,NLL18,330,329,140,190,0,0,11,10,47,186,56
2012,NLL04,206,206,91,115,0,0,0,0,11,149,29
2012,NLL07,598,598,231,367,0,0,0,18,95,346,127
2012,NVC08,2929,2929,1106,1823,0,230,558,922,881,319,13
2012,NVC09,3705,3705,1596,2109,0,194,677,1087,1246,474,19
2012,NLL15,242,233,111,131,0,0,0,9,19,149,47
2012,RVJ-X,131251,114087,56677,74569,9864,17654,21742,21174,27780,26730,4786
2012,NLT01,256,256,113,143,0,0,0,0,13,158,67
2012,RBZ,61398,50294,26832,34565,5377,6175,6236,8210,15041,16665,3573
2012,NT202,154,154,74,80,0,0,12,44,37,50,0
2012,NT207,267,267,127,140,0,7,11,35,73,113,13
2012,NT211,90,90,42,48,0,0,10,35,10,0,0
2012,NT215,1325,1325,634,691,0,68,236,381,454,180,0
2012,NT233,2803,2803,1523,1280,0,254,608,934,806,196,0
2012,NT238,1047,1047,448,599,0,42,109,248,364,262,14
2012,NTC05,2725,2725,1137,1588,0,97,285,781,1109,445,0
2012,NR501,1587,1512,747,840,10,168,181,237,312,562,102
2012,RK9,135762,116505,61693,74064,14146,16532,16476,22310,33885,27659,4310
2012,NLL19,50,48,21,29,0,0,0,0,0,13,16
2012,RD3,83026,73841,33479,49547,14013,11832,11923,10105,14150,16899,3832
2012,REF-X,152720,119180,67778,84942,13853,18981,18363,22583,37808,34722,5625
2012,RH8,154593,119812,70565,84028,11544,14840,17523,23685,41219,38568,6531
2012,RBB,3105,3105,1066,2039,33,172,448,843,1066,508,25
2012,RD1,85093,67591,40091,45002,7088,6770,8640,12853,20371,24321,4920
2012,RNZ,63174,53772,28220,34954,6291,8485,9450,9830,13401,13244,2294
2012,NTC01,7803,7803,3727,4076,0,373,979,2062,2628,1645,113
2012,RH5,7019,6449,2902,4117,18,462,595,526,1207,3157,1054
2012,5QL,0,0,0,0,0,0,0,0,0,0,0
2012,RA9,83286,68287,37268,46018,6039,8776,9020,12638,21758,20929,3961
2012,NT302,2111,2111,1099,1012,0,180,437,654,649,172,7
2012,NLL13,611,570,208,403,0,0,0,15,122,366,103
2012,NLL08,119,119,53,66,0,0,0,0,12,68,29
2012,NLX01,876,876,291,585,0,0,6,10,107,557,184
2012,NLL21,205,204,92,113,0,0,0,23,37,109,14
2012,NLL09,41,40,14,27,0,0,0,0,6,12,9
2012,5K3,87,85,36,51,0,0,0,0,16,62,6
2012,RBA,100016,86393,44163,55852,9427,12225,11820,14675,25573,22675,3335
2012,NTY48,588,588,254,334,0,25,71,144,194,133,11
2012,RDZ,128145,101859,63869,64276,771,8048,12272,20743,36024,42121,7803
2012,R1G,4232,4222,1745,2487,8,7,73,118,618,2509,891
2012,TAL,0,0,0,0,0,0,0,0,0,0,0
2012,RA7,137930,119703,62692,75228,24241,19346,19532,19715,28455,22651,3604
2012,RA3,36094,29647,16097,19996,1391,3013,3906,5725,9270,10451,2288
2012,NVC22,2598,2598,1144,1454,0,242,525,824,735,266,0
2012,RA4,46508,41187,20467,26034,4145,4834,5221,6772,11445,11780,2236
2012,RXT,2572,1785,1446,1126,0,670,775,604,295,204,15
2012,RQ3,42551,39304,24578,17972,39474,3048,0,0,0,0,0
2012,RYW,4126,3757,1528,2598,471,749,591,402,410,1149,353
2012,5PG,102,82,29,73,0,0,0,0,6,63,22
2012,RXKTC,15937,15895,6224,9713,838,1562,2674,4891,4215,1620,48
2012,RLU,24094,23146,4584,19502,8705,6527,6711,852,407,153,11
2012,TAJ,1347,1346,744,603,0,284,456,299,163,127,0
2012,NT412,1806,1806,889,911,19,137,358,529,533,206,11
2012,NT424,1308,1308,582,726,0,113,313,444,335,61,0
2012,NT445,1551,1551,721,830,0,163,397,483,367,133,0
2012,RJF,79285,67478,32730,46554,9132,10412,11009,11600,17158,16889,3004
2012,RJDTC,4821,4820,2152,2669,0,246,510,1185,1723,1087,56
