YEAR,ORG_CODE,BEDS,BEDS_OCCUPIED_PERCENT
2011, RMY ,391,0.82
2011, RQ8 ,522,0.84
2011, RQQ ,298,0.79
2011, RQW ,472,0.89
2011, RRD ,394,0.85
2011, RT1 ,356,0.89
2011, RT6 ,160,0.89
2011, RWG ,647,0.78
2011, RWH ,851,0.82
2011, RWN ,737,0.87
2011, RWR ,623,0.90
2011, RY3 ,129,0.90
2011, RY4 ,262,0.85
2011, RYV ,96,0.85
2011, 5A4 ,46,0.95
2011, 5A9 ,65,0.93
2011, 5AT ,22,0.65
2011, 5C4 ,68,0.81
2011, 5LD ,33,0.84
2011, RAL ,640,0.94
2011, RAN ,215,0.89
2011, RAP ,376,0.94
2011, RAS ,414,0.86
2011, RAT ,473,0.79
2011, RAX ,440,0.91
2011, RC3 ,471,0.95
2011, RF4 ,1234,0.84
2011, RFW ,348,0.86
2011, RGC ,590,0.90
2011, RJ1 ,1042,0.76
2011, RJ2 ,434,0.90
2011, RJ6 ,552,0.85
2011, RJ7 ,908,0.82
2011, RKE ,366,0.84
2011, RKL ,635,0.88
2011, RNH ,398,0.91
2011, RNJ ,977,0.86
2011, RP4 ,275,0.90
2011, RP6 ,7,0.44
2011, RPG ,457,0.91
2011, RPY ,188,0.81
2011, RQM ,467,0.89
2011, RQX ,390,0.86
2011, RQY ,565,0.80
2011, RRP ,565,0.97
2011, RRV ,846,0.81
2011, RT3 ,362,0.96
2011, RV3 ,845,0.99
2011, RV5 ,968,0.87
2011, RV8 ,720,0.94
2011, RVL ,865,0.83
2011, RVR ,841,0.81
2011, RWK ,677,0.85
2011, RYJ ,1202,0.59
2011, RYQ ,1125,0.89
2011, RYX ,58,0.88
2011, TAF ,187,0.93
2011, 5L3 ,15,0.62
2011, 5P5 ,266,0.96
2011, RA2 ,499,0.80
2011, RDR ,126,0.97
2011, RDU ,598,0.82
2011, RN7 ,461,0.87
2011, RPA ,568,0.86
2011, RPC ,63,0.96
2011, RTK ,577,0.88
2011, RTP ,573,0.95
2011, RVV ,1191,0.77
2011, RWF ,738,0.84
2011, RX2 ,668,0.80
2011, RXC ,991,0.88
2011, RXH ,803,0.89
2011, RXY ,615,0.81
2011, RYR ,974,0.89
2011, 5CQ ,70,0.83
2011, 5QT ,350,0.77
2011, R1C ,211,0.95
2011, RBF ,130,0.69
2011, RD7 ,554,0.89
2011, RD8 ,449,0.89
2011, RHM ,1083,0.87
2011, RHU ,983,0.87
2011, RHW ,669,0.87
2011, RN1 ,363,0.84
2011, RN5 ,449,0.74
2011, RNU ,546,0.92
2011, RTH ,1246,0.91
2011, RW1 ,730,0.81
2011, RWX ,313,0.71
2011, RXQ ,714,0.95
2011, 5F1 ,240,0.81
2011, 5K3 ,60,0.96
2011, 5QH ,76,0.97
2011, 5QK ,91,0.80
2011, 5QL ,307,0.85
2011, 5QM ,240,0.84
2011, 5QN ,50,0.95
2011, 5QP ,183,0.93
2011, RA3 ,232,0.90
2011, RA4 ,379,0.77
2011, RA7 ,854,0.80
2011, RA9 ,431,0.74
2011, RBA ,647,0.75
2011, RBB ,51,0.75
2011, RBD ,381,0.82
2011, RBZ ,314,0.90
2011, RD1 ,577,0.93
2011, RD3 ,536,0.85
2011, RDZ ,692,0.86
2011, REF ,710,0.80
2011, RH5 ,171,0.83
2011, RH8 ,739,0.84
2011, RJ8 ,139,0.94
2011, RK9 ,894,0.83
2011, RN3 ,556,0.94
2011, RNZ ,478,0.87
2011, RTE ,1013,0.87
2011, RTQ ,224,0.94
2011, RVJ ,1036,0.90
2011, RVN ,623,0.82
2011, RWV ,286,0.85
2012,RE9,453,0.77
2012,RLN,869,0.76
2012,RR7,497,0.90
2012,RTD,1568,0.83
2012,RTF,1213,0.77
2012,RTR,1114,0.83
2012,RVW,651,0.80
2012,RX3,892,0.85
2012,RX4,1449,0.66
2012,RXP,1119,0.78
2012,RBL,817,0.85
2012,RBN,671,0.91
2012,RBQ,152,0.85
2012,RBS,190,0.80
2012,RBT,576,0.92
2012,RBV,166,0.82
2012,REM,710,0.95
2012,REN,76,0.68
2012,REP,137,0.63
2012,RET,138,0.88
2012,RJN,390,0.87
2012,RJR,566,0.90
2012,RJX,234,0.95
2012,RM2,865,0.88
2012,RM3,640,0.92
2012,RMC,707,0.85
2012,RMP,489,0.90
2012,RNL,574,0.84
2012,RNN,138,0.92
2012,RQ6,749,0.96
2012,RRF,500,0.84
2012,RT2,536,0.91
2012,RTV,322,0.90
2012,RTX,783,0.84
2012,RVY,481,0.83
2012,RW3,1197,0.88
2012,RW4,428,0.86
2012,RW5,572,0.89
2012,RW6,1546,0.81
2012,RWJ,736,0.82
2012,RWW,650,0.88
2012,RXA,371,0.78
2012,RXL,836,0.89
2012,RXN,914,0.92
2012,RXR,918,0.85
2012,RXV,607,0.90
2012,TAE,248,0.92
2012,RAE,732,0.77
2012,RCB,740,0.88
2012,RCC,347,0.86
2012,RCD,321,0.86
2012,RCF,337,0.92
2012,RCU,158,0.71
2012,RFF,524,0.89
2012,RFR,571,0.88
2012,RGD,565,0.88
2012,RHQ,2062,0.78
2012,RJL,910,0.68
2012,RP5,1005,0.84
2012,RR8,1973,0.86
2012,RV9,238,0.76
2012,RWA,1161,0.88
2012,RWY,748,0.87
2012,RXE,331,0.85
2012,RXF,1152,0.80
2012,RXG,575,0.84
2012,RY6,38,0.87
2012,TAD,209,0.99
2012,TAH,258,0.88
2012,RFS,570,0.87
2012,RHA,1195,0.89
2012,RK5,736,0.91
2012,RNQ,567,0.90
2012,RNS,771,0.86
2012,RP1,279,0.93
2012,RP7,261,0.85
2012,RT5,452,0.90
2012,RTG,927,0.88
2012,RWD,1234,0.88
2012,RWE,1645,0.85
2012,RX1,1578,0.87
2012,RXM,306,0.95
2012,RY5,60,0.87
2012,RY8,110,0.85
2012,R1A,284,0.86
2012,R1E,320,0.94
2012,RBK,464,0.84
2012,RJC,573,0.92
2012,RJD,385,0.79
2012,RJE,990,0.92
2012,RJF,444,0.89
2012,RKB,1141,0.92
2012,RL1,183,0.75
2012,RL4,801,0.87
2012,RLQ,260,0.94
2012,RLT,338,0.86
2012,RLU,136,0.58
2012,RLY,232,0.81
2012,RNA,764,0.83
2012,RQ3,259,0.93
2012,RR1,1549,0.93
2012,RRE,372,0.85
2012,RRJ,114,0.77
2012,RRK,964,0.96
2012,RWP,886,0.84
2012,RXK,860,0.86
2012,RXT,696,0.90
2012,RXW,748,0.98
2012,RYG,368,0.99
2012,RYK,194,0.76
2012,RYW,435,0.87
2012,TAJ,248,0.76
2012,5PT,16,0.96
2012,RAJ,625,0.78
2012,RC1,354,0.95
2012,RC9,654,0.83
2012,RCX,469,0.91
2012,RDD,626,0.93
2012,RDE,662,0.83
2012,RGM,233,0.84
2012,RGN,622,0.87
2012,RGP,442,0.82
2012,RGQ,567,0.86
2012,RGR,465,0.73
2012,RGT,932,0.90
2012,RM1,956,0.90
2012,RMY,582,0.84
2012,RQ8,564,0.86
2012,RQQ,278,0.81
2012,RQW,436,0.93
2012,RRD,376,0.82
2012,RT1,295,0.93
2012,RWG,647,0.83
2012,RWH,772,0.84
2012,RWN,777,0.92
2012,RWR,535,0.89
2012,RY3,128,0.88
2012,RY4,253,0.88
2012,RYV,107,0.73
2012,NDA,0,0.00
2012,R1H,1928,0.92
2012,RAL,512,0.87
2012,RAN,164,0.80
2012,RAP,338,0.93
2012,RAS,431,0.85
2012,RAT,415,0.86
2012,RAX,423,0.93
2012,RC3,497,0.93
2012,RF4,1031,1.00
2012,RFW,354,0.91
2012,RJ1,1092,0.78
2012,RJ2,412,0.90
2012,RJ6,538,0.91
2012,RJ7,890,0.72
2012,RJZ,849,0.91
2012,RKE,316,0.86
2012,RKL,558,0.94
2012,RP4,300,0.92
2012,RP6,7,0.45
2012,RPG,444,0.94
2012,RPY,194,0.86
2012,RQM,521,0.67
2012,RQX,398,0.88
2012,RQY,458,0.88
2012,RRP,469,1.00
2012,RRV,844,0.84
2012,RT3,355,0.89
2012,RV3,639,0.92
2012,RV5,938,0.85
2012,RV8,723,0.93
2012,RVL,829,0.83
2012,RVR,813,0.81
2012,RWK,723,0.87
2012,RYJ,1109,0.72
2012,RYQ,1108,0.88
2012,RYX,275,0.84
2012,TAF,181,0.95
2012,RA2,526,0.83
2012,RDR,127,0.94
2012,RDU,570,0.87
2012,RN7,463,0.93
2012,RPA,591,0.91
2012,RPC,60,0.85
2012,RTK,568,0.86
2012,RTP,636,0.88
2012,RVV,1071,0.81
2012,RWF,735,0.89
2012,RX2,683,0.81
2012,RXC,877,0.87
2012,RXH,809,0.89
2012,RXX,350,0.87
2012,RXY,562,0.92
2012,RYR,896,0.94
2012,5CQ,70,0.82
2012,R1C,188,0.78
2012,R1F,338,0.79
2012,RD7,506,0.99
2012,RD8,438,0.89
2012,RHM,1051,0.91
2012,RHU,983,0.88
2012,RHW,712,0.80
2012,RHX,42,0.94
2012,RN5,870,0.80
2012,RNU,554,0.93
2012,RTH,1373,0.73
2012,RW1,646,0.84
2012,RWX,289,0.79
2012,RXQ,739,0.89
2012,5QH,90,0.96
2012,RA3,224,0.97
2012,RA4,323,0.88
2012,RA7,878,0.81
2012,RA9,456,0.77
2012,RBA,630,0.78
2012,RBB,36,0.62
2012,RBD,334,0.79
2012,RBZ,345,0.91
2012,RD1,603,0.94
2012,RD3,501,0.89
2012,RDY,93,0.84
2012,RDZ,641,0.85
2012,REF,786,0.76
2012,RH5,487,0.82
2012,RH8,786,0.82
2012,RJ8,137,0.94
2012,RK9,892,0.86
2012,RN3,621,0.87
2012,RNZ,430,0.87
2012,RTE,971,0.94
2012,RTQ,234,0.85
2012,RVJ,1034,0.91
2012,RVN,576,0.85
2012,RWV,290,0.87
2013,RBL,833,0.84
2013,RBT,602,0.85
2013,REN,73,0.61
2013,RJN,377,0.89
2013,RJR,558,0.93
2013,RTV,322,0.92
2013,RWW,618,0.85
2013,RXA,365,0.76
2013,RTR,1122,0.81
2013,RVW,633,0.81
2013,RX3,896,0.87
2013,RXP,1131,0.79
2013,RBV,166,0.82
2013,RM2,878,0.79
2013,RM3,676,0.92
2013,RMC,675,0.82
2013,RMP,490,0.88
2013,RRF,482,0.86
2013,RT2,599,0.83
2013,RW3,1281,0.88
2013,RW6,1391,0.83
2013,RWJ,745,0.80
2013,RXV,584,0.94
2013,TAE,251,0.93
2013,RJX,235,0.94
2013,RW5,520,0.92
2013,RXL,816,0.89
2013,RXN,886,0.92
2013,RXR,926,0.90
2013,RBN,695,0.93
2013,RBQ,152,0.84
2013,RBS,191,0.74
2013,REM,689,0.97
2013,REP,146,0.61
2013,RET,162,0.87
2013,RQ6,767,0.94
2013,RVY,496,0.84
2013,RW4,415,0.90
2013,RE9,414,0.85
2013,RLN,881,0.65
2013,RNL,597,0.88
2013,RNN,134,0.93
2013,RR7,508,0.87
2013,RTD,1579,0.83
2013,RTF,1176,0.78
2013,RTX,791,0.77
2013,RX4,1080,0.83
2013,RCB,1032,0.88
2013,RCD,321,0.81
2013,RJL,873,0.76
2013,RV9,227,0.76
2013,RWA,1089,0.90
2013,RCU,145,0.79
2013,RFF,521,0.80
2013,RFR,614,0.88
2013,RHQ,2019,0.82
2013,RP5,970,0.80
2013,RXE,359,0.79
2013,TAH,245,0.88
2013,RAE,751,0.71
2013,RCF,394,0.80
2013,RGD,554,0.88
2013,RR8,1871,0.81
2013,RWY,786,0.88
2013,RXF,1071,0.83
2013,RXG,577,0.86
2013,RY6,59,0.93
2013,TAD,209,0.98
2013,R1A,239,0.86
2013,RJC,553,0.86
2013,RKB,1123,0.91
2013,RLQ,243,0.93
2013,RLT,319,0.96
2013,RWP,863,0.89
2013,RYG,385,0.92
2013,RBK,489,0.90
2013,RL4,797,0.92
2013,RLU,142,0.56
2013,RNA,753,0.81
2013,RQ3,250,0.95
2013,RR1,1523,0.93
2013,RRJ,112,0.74
2013,RRK,1032,0.95
2013,RXK,767,0.85
2013,RXT,793,0.74
2013,RYK,190,0.80
2013,RYW,301,0.92
2013,TAJ,225,0.78
2013,RFS,595,0.89
2013,RHA,1204,0.88
2013,RK5,738,0.91
2013,RTG,982,0.90
2013,RX1,1690,0.83
2013,RXM,306,0.99
2013,RY8,120,0.88
2013,RCX,460,0.88
2013,RGM,242,0.85
2013,RGN,643,0.85
2013,RGP,437,0.85
2013,RGQ,601,0.85
2013,RGR,479,0.79
2013,RGT,946,0.91
2013,RM1,973,0.90
2013,RMY,531,0.83
2013,RQQ,253,0.84
2013,RT1,286,0.91
2013,RY3,123,0.89
2013,RYV,88,0.53
2013,RAJ,626,0.78
2013,RDD,682,0.91
2013,RDE,639,0.83
2013,RQ8,552,0.88
2013,RQW,453,0.94
2013,RRD,381,0.89
2013,RWN,754,0.91
2013,RC1,358,0.96
2013,RC9,626,0.83
2013,RD8,465,0.92
2013,RNQ,579,0.92
2013,RNS,813,0.86
2013,RP1,246,0.94
2013,RWG,728,0.81
2013,RWH,733,0.85
2013,RWR,511,0.92
2013,RY4,221,0.86
2013,RP7,260,0.80
2013,RT5,437,0.89
2013,RWD,1170,0.87
2013,RWE,1671,0.87
2013,RY5,60,0.83
2013,R1E,296,0.90
2013,RJD,395,0.76
2013,RJE,1039,0.93
2013,RJF,489,0.83
2013,RL1,189,0.78
2013,RLY,209,0.78
2013,RRE,357,0.87
2013,RXW,764,0.90
2013,R1J,87,0.92
2013,RBB,14,0.68
2013,RD1,595,0.93
2013,RN3,645,0.91
2013,RNZ,457,0.87
2013,RTE,976,0.91
2013,RTQ,232,0.83
2013,RVN,540,0.89
2013,RA3,240,0.90
2013,RA4,364,0.75
2013,RA7,993,0.83
2013,RBA,609,0.79
2013,RH5,459,0.84
2013,RVJ,1056,0.87
2013,RA9,448,0.78
2013,RBZ,356,0.83
2013,REF,628,0.93
2013,RH8,792,0.83
2013,RJ8,122,0.83
2013,RK9,890,0.82
2013,RWV,302,0.88
2013,RN7,477,0.96
2013,RPA,544,0.92
2013,RPG,431,0.95
2013,RVV,1011,0.86
2013,RWF,734,0.89
2013,RXY,545,0.95
2013,RA2,514,0.83
2013,RDR,132,0.94
2013,RDU,624,0.89
2013,RPC,57,0.91
2013,RTK,570,0.83
2013,RTP,545,0.97
2013,RX2,616,0.92
2013,RXC,842,0.85
2013,RXH,835,0.87
2013,RXX,356,0.87
2013,RYR,894,0.91
2013,RD7,606,0.93
2013,RHW,717,0.86
2013,RNU,564,0.93
2013,RTH,1347,0.83
2013,RWX,263,0.81
2013,RXQ,739,0.94
2013,R1C,175,0.82
2013,R1F,339,0.77
2013,RBD,334,0.84
2013,RD3,510,0.87
2013,RDY,0,0.00
2013,RDZ,621,0.90
2013,RHM,1112,0.89
2013,RHU,1002,0.91
2013,RN5,930,0.77
2013,RW1,604,0.89
2013,R1H,1949,0.88
2013,RAL,542,0.84
2013,RAN,187,0.86
2013,RAP,315,0.97
2013,RAS,416,0.82
2013,RAT,387,0.79
2013,RAX,439,0.89
2013,RC3,457,0.87
2013,RF4,990,0.97
2013,RFW,381,0.93
2013,RJ1,1060,0.83
2013,RJ2,433,0.90
2013,RJ6,537,0.87
2013,RJ7,950,0.88
2013,RJZ,874,0.97
2013,RKE,327,0.81
2013,RKL,759,0.90
2013,RP4,324,0.87
2013,RP6,7,0.48
2013,RPY,195,0.86
2013,RQM,515,0.70
2013,RQX,409,0.88
2013,RQY,417,0.86
2013,RRP,498,0.98
2013,RRV,843,0.88
2013,RT3,339,0.96
2013,RV3,933,0.97
2013,RV5,877,0.79
2013,RV8,747,0.89
2013,RVL,729,0.88
2013,RVR,838,0.80
2013,RWK,722,0.87
2013,RYJ,1053,0.93
2013,RYQ,995,0.93
2013,RYX,248,0.84
2013,TAF,182,0.98
2014,RBL,768,0.83
2014,RBT,538,0.93
2014,REN,73,0.63
2014,RJN,351,0.89
2014,RJR,558,0.91
2014,RTV,323,0.89
2014,RWW,595,0.84
2014,RXA,355,0.82
2014,RTR,1168,0.78
2014,RVW,636,0.81
2014,RX3,880,0.92
2014,RXP,1106,0.79
2014,RBV,177,0.75
