DATE,ORG_CODE,RTT_SCORE
Mar-18,RR7,91.74
Mar-18,RR8,87.37
Mar-18,RRF,93.13
Mar-18,RRJ,79.52
Mar-18,RRK,91.27
Mar-18,RRV,90.76
Mar-18,RT1,94.63
Mar-18,RT3,91.12
Mar-18,RT5,97.01
Mar-18,RTD,93.47
Mar-18,RTF,91.05
Mar-18,RTG,88.50
Mar-18,RTH,84.73
Mar-18,RTK,88.38
Mar-18,RTP,88.10
Mar-18,RTR,89.71
Mar-18,RTX,84.45
Mar-18,RV3,100.00
Mar-18,RV9,95.44
Mar-18,RVJ,85.83
Mar-18,RVR,83.77
Mar-18,RVV,75.06
Mar-18,RVW,93.21
Mar-18,RVY,93.13
Mar-18,RW1,93.28
Mar-18,RW5,99.51
Mar-18,RW6,86.61
Mar-18,RWA,79.80
Mar-18,RWD,83.59
Mar-18,RWE,85.32
Mar-18,RWF,82.00
Mar-18,RWG,83.74
Mar-18,RWJ,86.51
Mar-18,RWP,81.92
Mar-18,RWW,91.62
Mar-18,RWX,99.63
Mar-18,RWY,92.83
Mar-18,RX1,92.40
Mar-18,RX4,99.71
Mar-18,RXC,88.15
Mar-18,RXF,83.68
Mar-18,RXG,97.62
Mar-18,RXH,81.36
Mar-18,RXK,90.75
Mar-18,RXL,81.18
Mar-18,RXM,92.57
Mar-18,RXN,81.38
Mar-18,RXP,91.87
Mar-18,RXQ,87.47
Mar-18,RXR,91.20
Mar-18,RXW,90.68
Mar-18,RY2,99.18
Mar-18,RY3,99.69
Mar-18,RY4,91.54
Mar-18,RY6,97.36
Mar-18,RY7,100.00
Mar-18,RY8,94.41
Mar-18,RY9,100.00
Mar-18,RYG,98.66
Mar-18,RYJ,82.76
Mar-18,RYK,98.40
Mar-18,RYR,84.08
Mar-18,RYV,99.67
Mar-18,RYW,94.28
Mar-18,RYX,95.61
Mar-18,RYY,91.21
Mar-18,TAD,96.47
Mar-18,TAJ,97.78
