ORG_CODE,YEAR,FINANCIAL_POSITION,OP_INCOME,OP_COST
RYH,2010,2731,149606,-145820
RYJ,2010,5146,920256,-898266
RYK,2010,883,67918,-65612
RYQ,2010,-40864.66667,437687,-453170
RYR,2010,5234,361593,-346643
RYV,2010,513,102793,-102365
RYW,2010,686,251992,-251306
RYX,2010,2196,155379,-153196
RYY,2010,1429,131425,-129886
TAD,2010,104,115820,-112480
TAE,2010,-482,90382,-90831
TAF,2010,1871,141213,-136453
TAH,2010,2373,117147,-112737
TAJ,2010,622.8296,52244.51,-52405.9482
R1A,2011,1500,171083,-170718
R1C,2011,1863,193935,-192072
R1D,2011,1397,80802,-79208
R1E,2011,1527,204268,-202615
RA2,2011,3665,239904,-231936
RA3,2011,3610,95306,-94782
RA4,2011,1397,109077,-106648
RA7,2011,8154,533739,-515713
RA9,2011,4864.843,219407.843,-226766
RAE,2011,7743.1247,343878.0232,-334186.3441
RAJ,2011,267,250270,-245238
RAL,2011,8200,561371,-548647
RAN,2011,1102,111762,-109099
RAP,2011,669,181283,-191270
RAS,2011,-2085,190291,-188782
RAT,2011,8800,309029,-302518
RAX,2011,3184,204525,-196613
RBA,2011,1991,239391,-232889
RBB,2011,-106,21024,-20934
RBD,2011,593.4926,148201,-144848.5074
RBK,2011,4164,226983,-215691
RBL,2011,3198,284117,-277323
RBN,2011,305,263864,-273461
RBQ,2011,531.07,106799,-104597.93
RBS,2011,17024,189160,-170469
RBT,2011,3397,173754,-178878
RBV,2011,7062,185308,-189259
RBZ,2011,1719,211041,-214543
RC1,2011,197,212893,-208489
RC3,2011,2304,234630,-229374
RC9,2011,2494.6774,220552.1865,-215792.5091
RCB,2011,451,296435,-292456
RCC,2011,1899,125608,-123314
RCD,2011,943,169131,-165917
RCF,2011,-156,138179,-138688
RCU,2011,5742,149055,-141816
RCX,2011,1050,165017,-161800
RD1,2011,6215,223678,-211557
RD3,2011,955,195686,-192737
RD7,2011,-13873.945,221573.055,-232800
RD8,2011,-4307.369,163456.076,-163312.998
RDD,2011,4964,270750,-260484
RDE,2011,11092,245496,-228927
RDR,2011,1918,185342,-182481
RDU,2011,6230,259835,-251658
RDY,2011,10753,214339,-201962
RDZ,2011,5439.0985,239763,-231179.9015
RE9,2011,1546,217662,-213145
REF,2011,4437,314246,-307542
REM,2011,1946,278121,-280769
REN,2011,3419,75296,-70872
REP,2011,4026,94364,-89488
RET,2011,2428,81202,-77759
RF4,2011,-49912.60163,419120.8438,-442158.4375
RFF,2011,665,160891,-158688
RFR,2011,313,232727,-236162
RFS,2011,9536,191386,-179690
RFW,2011,1777,148943,-140838
RGC,2011,-6376,251300,-255953
RGD,2011,4833.3668,181166,-172515.6332
RGM,2011,6450,129291,-121552
RGN,2011,-45772,207796,-242098
RGP,2011,3080,167172,-163302
RGQ,2011,137,238150,-231730
RGR,2011,824,159501,-156821
RGT,2011,-2457,617338,-607168
RH5,2011,1639,147192,-145640
RH8,2011,3030,350594,-339647
RHA,2011,6896,419620,-407966
RHM,2011,1955,537981,-529905
RHQ,2011,7078.1051,861716.1051,-840900
RHU,2011,148,440231,-421113
RHW,2011,1015.936,317414.248,-309039.312
RHX,2011,59,39942,-40262
RJ1,2011,18262,1136426,-1104483
RJ2,2011,1427,229184,-220150
RJ6,2011,3967,236941,-228006
RJ7,2011,6101,620411,-608977
RJ8,2011,2338,87239,-82772
RJC,2011,3022,204864,-199990
RJD,2011,-19911,155742,-172211
RJE,2011,1050,426319,-543602
RJF,2011,-3042,171527,-173436
RJL,2011,397,315896,-311480
RJN,2011,277,176835,-174521
RJR,2011,1283,185536,-184308
RJX,2011,1018,59677,-57217
RJZ,2011,3658,628615,-607594
RK5,2011,-6196.8499,266081,-243407.8499
RK9,2011,15,391862,-387634
RKB,2011,1465,484816,-476839
RKE,2011,1120,278212,-275970
RKL,2011,4881,244907.3906,-231662.3906
RL1,2011,1654,84046,-81072
RL4,2011,9297,374417,-356059
RLN,2011,3783,306021,-295614
