DATE,YEAR,ORG_CODE,N_TOTAL,N_18_WEEKS,RTT_SCORE
31/03/2018,2017,RNA,18045,16752,0.928345802
31/03/2018,2017,RNQ,22046,16995,0.770888143
31/03/2018,2017,RNS,23091,20178,0.873846953
31/03/2018,2017,RP1,245,245,1
31/03/2018,2017,RP7,329,312,0.948328267
31/03/2018,2017,RQ3,13968,12890,0.922823597
31/03/2018,2017,RQW,15930,14075,0.883553045
31/03/2018,2017,RR1,51761,45756,0.883986013
31/03/2018,2017,RRJ,8056,6611,0.820630586
31/03/2018,2017,RRK,32418,29879,0.921679314
31/03/2018,2017,RT1,136,130,0.955882353
31/03/2018,2017,RT5,362,351,0.96961326
31/03/2018,2017,RTG,31172,27659,0.887302708
31/03/2018,2017,RWD,39028,33050,0.846827918
31/03/2018,2017,RWE,64655,55074,0.851813472
31/03/2018,2017,RWG,24395,20382,0.835499078
31/03/2018,2017,RWP,35653,29678,0.83241242
31/03/2018,2017,RX1,30192,28051,0.929087175
31/03/2018,2017,RXK,30071,27667,0.920055868
31/03/2018,2017,RXM,402,371,0.922885572
31/03/2018,2017,RXW,15735,14368,0.91312361
31/03/2018,2017,RY3,549,547,0.996357013
31/03/2018,2017,RY4,1870,1708,0.913368984
31/03/2018,2017,RY8,3440,3269,0.950290698
31/03/2018,2017,RYG,807,797,0.987608426
31/03/2018,2017,RYK,104,102,0.980769231
31/03/2018,2017,RYV,1534,1533,0.99934811
31/03/2018,2017,RYW,10951,10375,0.947402064
31/03/2018,2017,R1K,54585,44533,0.815846844
31/03/2018,2017,RAL,61181,50820,0.830650038
31/03/2018,2017,RAN,6044,5441,0.900231635
31/03/2018,2017,RAP,11399,10498,0.920957979
31/03/2018,2017,RAS,22766,20222,0.888254414
31/03/2018,2017,RAT,438,434,0.99086758
31/03/2018,2017,RAX,16376,15260,0.93185149
31/03/2018,2017,RF4,34376,29953,0.871334652
31/03/2018,2017,RJ1,62880,55566,0.883683206
31/03/2018,2017,RJ2,39922,35181,0.881243425
31/03/2018,2017,RJ6,20285,18812,0.927384767
31/03/2018,2017,RJZ,74287,59823,0.805295678
31/03/2018,2017,RKE,16225,14978,0.923143297
31/03/2018,2017,RP4,5121,4758,0.929115407
31/03/2018,2017,RP6,27973,26264,0.938905373
31/03/2018,2017,RPG,608,590,0.970394737
31/03/2018,2017,RPY,1826,1785,0.97754655
31/03/2018,2017,RQM,33114,30796,0.929999396
31/03/2018,2017,RQX,17946,17118,0.953861585
31/03/2018,2017,RQY,2902,2842,0.979324604
31/03/2018,2017,RRV,42236,38438,0.910076712
31/03/2018,2017,RT3,5746,5280,0.918900104
31/03/2018,2017,RV3,357,357,1
31/03/2018,2017,RVR,28781,24784,0.861123658
31/03/2018,2017,RY9,174,174,1
31/03/2018,2017,RYJ,64419,53650,0.832828824
31/03/2018,2017,RYX,1235,1181,0.956275304
31/03/2018,2017,R1C,1281,1277,0.99687744
31/03/2018,2017,R1F,8920,7493,0.840022422
31/03/2018,2017,RA2,23501,21330,0.907620952
31/03/2018,2017,RA3,4655,4207,0.903759398
31/03/2018,2017,RA4,8772,7984,0.910168719
31/03/2018,2017,RA7,29207,25424,0.870476256
31/03/2018,2017,RA9,18855,15382,0.815804826
31/03/2018,2017,RBA,21400,17218,0.804579439
31/03/2018,2017,RBD,11989,10564,0.881141046
31/03/2018,2017,RD1,21708,18419,0.848489036
31/03/2018,2017,RD3,14666,12794,0.872357834
31/03/2018,2017,RDR,3659,3583,0.979229298
31/03/2018,2017,RDU,35351,32629,0.923000764
31/03/2018,2017,RDY,883,847,0.959229898
31/03/2018,2017,RDZ,24874,22118,0.889201576
31/03/2018,2017,REF,26414,20941,0.792799273
31/03/2018,2017,RH5,1284,1281,0.997663551
31/03/2018,2017,RH8,30152,25135,0.833609711
31/03/2018,2017,RHM,31297,26981,0.862095409
31/03/2018,2017,RHU,32806,28225,0.86036091
31/03/2018,2017,RHW,30919,28526,0.922604224
31/03/2018,2017,RJ8,259,259,1
31/03/2018,2017,RK9,25585,20382,0.796638655
31/03/2018,2017,RN3,20829,18054,0.866772289
31/03/2018,2017,RN5,35719,32283,0.903804698
31/03/2018,2017,RN7,14127,13050,0.923763007
31/03/2018,2017,RNZ,17030,15705,0.922196124
31/03/2018,2017,RPA,21193,16916,0.798188081
31/03/2018,2017,RPC,6494,5564,0.856790884
31/03/2018,2017,RTH,49822,42390,0.850828951
31/03/2018,2017,RTK,25716,23006,0.894618137
31/03/2018,2017,RTP,25245,22560,0.893642305
31/03/2018,2017,RVJ,27158,23236,0.855585831
31/03/2018,2017,RVV,54515,41477,0.760836467
31/03/2018,2017,RW1,4870,4576,0.93963039
31/03/2018,2017,RWF,31869,25431,0.797985503
31/03/2018,2017,RWX,199,199,1
31/03/2018,2017,RXC,28218,25379,0.89939046
31/03/2018,2017,RXH,33984,28248,0.831214689
31/03/2018,2017,RXQ,29489,25935,0.879480484
31/03/2018,2017,RYR,36606,31127,0.850325083
31/03/2018,2017,RYY,5621,5089,0.905354919
31/03/2018,2017,TAJ,226,219,0.969026549
31/03/2018,2017,TAD,413,405,0.98062954
31/03/2017,2016,RAE,22265,19872,0.892521895
31/03/2017,2016,RBL,22295,18728,0.840008971
31/03/2017,2016,RBN,20581,19245,0.935085759
31/03/2017,2016,RBQ,2093,1934,0.924032489
31/03/2017,2016,RBS,12008,11055,0.920636243
31/03/2017,2016,RBT,11009,10678,0.969933691
31/03/2017,2016,RBV,1272,1259,0.989779874
31/03/2017,2016,RCB,26016,23288,0.895141451
31/03/2017,2016,RCD,12869,12101,0.940321703
31/03/2017,2016,RCF,7374,6848,0.928668294
31/03/2017,2016,RCU,7967,7535,0.945776327
31/03/2017,2016,RE9,4320,4124,0.95462963
31/03/2017,2016,REM,15223,14084,0.925179005
31/03/2017,2016,REN,571,553,0.968476357
31/03/2017,2016,REP,3614,3410,0.94355285
31/03/2017,2016,RET,6829,6592,0.965295065
31/03/2017,2016,RFF,11624,10783,0.92764969
31/03/2017,2016,RFR,11990,11365,0.947873228
31/03/2017,2016,RHQ,41177,39285,0.954052019
31/03/2017,2016,RJL,28233,22436,0.794672901
31/03/2017,2016,RJN,7180,6694,0.932311978
31/03/2017,2016,RJR,14542,13489,0.927589052
31/03/2017,2016,RLN,25973,24510,0.943672275
31/03/2017,2016,RM2,23711,20726,0.874109063
31/03/2017,2016,RM3,35864,33254,0.927225072
31/03/2017,2016,RMC,19875,18397,0.92563522
31/03/2017,2016,RMP,11965,11063,0.924613456
31/03/2017,2016,RNL,21607,19909,0.921414356
31/03/2017,2016,RNN,1097,1064,0.969917958
31/03/2017,2016,RP5,31960,28909,0.904536921
31/03/2017,2016,RQ6,26361,23316,0.884488449
31/03/2017,2016,RR7,8191,7816,0.954218044
31/03/2017,2016,RR8,54920,48615,0.88519665
